corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y
00232496,2018,-8231460501.0,-8504254656.0,39296991158.0,16828150323.0,14606597018.0,48941775910.0,99830.0,씨그널엔터테인먼트그룹,,
00609254,2015,-11765442579.0,-4415301484.0,34055049766.0,3062969150.0,2858562133.0,19547137264.0,111610.0,세왕,,
00865382,2015,329455400.0,282479099.0,103263702056.0,3376895477.0,,103174549761.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,
00865382,2016,-126609801.0,1034252453.0,101688406059.0,3038689248.0,,102858137509.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,
00865382,2017,253523619.0,1114326839.0,102630381386.0,3237779631.0,,102275399259.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,
00865382,2018,,1060381005.0,,,,102522569560.0,140890.0,트러스와이제7호위탁관리부동산투자회사,,
01139266,2016,178964582.0,-105234384.0,1322593072.0,924581251.0,610213458.0,589578126.0,900260.0,로스웰,,
01139266,2017,179578520.0,-204398079.0,1709668501.0,1154352383.0,816828463.0,1322593072.0,900260.0,로스웰,,
01139266,2018,76356256.0,291728406.0,1691952670.0,814683873.0,616016067.0,1709668501.0,900260.0,로스웰,,
01139266,2019,16457592.0,421404014.0,1999323535.0,579679971.0,466263688.0,1691952670.0,900260.0,로스웰,,
01139266,2020,-443219771.0,28703575.0,1825992492.0,338851160.0,251344833.0,1999323535.0,900260.0,로스웰,,
00580180,2018,10888702564.0,16108934803.0,75152268364.0,60939330961.0,38376227296.0,64938182237.0,176560.0,포인트엔지니어링,,
00473400,2015,-2995653863.0,11136131841.0,82026411114.0,19009612799.0,14575457859.0,85951431567.0,77280.0,한컴지엠디,,
00473400,2016,-1196006457.0,1695150548.0,74355466261.0,15025709296.0,9530462643.0,82026411114.0,77280.0,한컴지엠디,,
00473400,2017,865220992.0,4965784343.0,68389118278.0,9540699521.0,3531558458.0,74355466261.0,77280.0,한컴지엠디,,
00473400,2018,1563263819.0,1890321991.0,68119242318.0,10978997926.0,4024899820.0,68389118278.0,77280.0,한컴지엠디,,
00100717,2015,-12371237076.0,1034112603.0,64018783988.0,31967266944.0,27142424818.0,78499052038.0,23430.0,아이이,,
