corp_code,stock_code,corp_name
01343920,313750,유안타제4호기업인수목적
01351822,317320,한화에스비아이기업인수목적
00379016,094190,이엘케이
00563147,158300,에스에이티
01371312,323940,케이비제18호기업인수목적
00267881,006910,보성파워텍
01366365,323210,이베스트이안기업인수목적1호
00105156,014530,극동유화
00116073,025340,그린기술투자
01336285,307070,에스케이에이씨피씨제4호기업인수목적
00176792,079440,오렌지라이프생명보험
00366793,080440,에스제이케이
00351630,053450,세코닉스
00867098,117730,티로보틱스
00146649,015860,일진홀딩스
00601191,299030,하나기술
00148443,002620,제일파마홀딩스
00148939,004700,조광피혁
00438036,084730,팅크웨어
01255652,281740,레이크머티리얼즈
00664181,189300,인텔리안테크
01058101,214260,라파스
01213586,332370,아이디피
00268181,039110,에스피컴텍
00552992,109820,진매트릭스
00173731,032040,씨앤에스자산관리
01141942,290740,액트로
00491336,090120,잘만테크
00447760,049950,미래컴퍼니
00118284,109860,동일금속
00442145,083930,아바코
00411446,066310,큐에스아이
01137295,335810,프리시젼바이오
00532129,060850,영림원소프트랩
01459212,382840,원준
00763473,241710,코스메카코리아
00442048,149950,아바텍
00663289,140660,위월드
00493501,073710,씨디네트웍스
00267979,007770,한일화학
00530121,109740,디에스케이
00166272,013520,화승코퍼레이션
00659815,165270,금오하이텍
00107303,033220,피엔에스커튼월
00393618,066830,제노텍
00350738,053320,제네시스디벨롭먼트홀딩스
00133715,008340,대주코레스
00946030,108490,로보티즈
00123967,015350,부산도시가스
00609324,100120,뷰웍스
00143794,005820,원림
00162780,006440,한일건설
00183215,032290,케이디지엠텍
00118965,019180,티에이치엔
00260879,042000,카페24
00861100,149010,아이케이세미콘
00362159,065950,웰크론
01303029,361570,알비더블유
01293388,322970,무진메디
01394377,334890,이지스밸류플러스리츠
00561732,159010,아스플로
00132354,192400,쿠쿠홀딩스
00218052,053740,국제엘렉트릭코리아
00595243,098400,엔스퍼트
00133238,005980,성지건설
00417167,371950,풍원정밀
00631837,065660,안트로젠
00914040,225330,씨엠에스에듀
00159254,006200,한국전자홀딩스
01395279,332710,하나금융14호기업인수목적
01414361,337450,에스케이제5호기업인수목적
01414936,340350,에스케이제6호기업인수목적
00367385,097870,효성오앤비
00632793,110020,전진바이오팜
01366824,254160,제이엠멀티
00168401,008870,금비
00142591,012250,셰프라인
01407909,336570,원텍
01390876,329560,상상인이안제2호기업인수목적
00266943,041140,넥슨지티
00493431,221610,자안바이오
01208849,267320,나인테크
01338724,950180,에스앤케이
01135640,351330,이삭엔지니어링
01187458,270210,에스알바이오텍
01046708,206640,바디텍메드
00298687,039670,스포츠서울
00688358,221840,하이즈항공
00599151,289080,SV인베스트먼트
01532603,378850,화승알앤에이
00226228,066110,한프
00872850,179440,비지스틸
00347877,052190,세영디앤씨
01067242,228180,비엘사이언스
01183407,270020,이십일스토어
01415892,348950,제이알글로벌리츠
00111458,014160,대영포장
00218575,032560,황금에스티
00991191,174900,앱클론
01350638,309900,티티씨디펜스
00134316,021820,세원정공
01116274,225860,엠앤씨생명과학
01301623,146320,비씨엔씨
01393299,330990,케이비제19호기업인수목적
00872452,176440,미래오토스
00139685,030960,양지사
00103042,009070,케이씨티시
01117592,240340,인터코스
00830447,185190,수프로
00264787,033600,럭슬
01267684,284740,쿠쿠홈시스
00975290,241840,에이스토리
00411905,182690,테라셈
01414370,340120,하이제5호기업인수목적
00905316,153360,하이골드오션3호선박투자회사
00867973,294630,서남
00828761,228670,레이
00122348,003610,방림
00170877,018120,진로발효
00963000,217320,썬테크
00866594,225850,미애부
00877819,263800,데이타솔루션
00147222,000950,전방
00145464,025820,이구산업
00109161,006890,태경케미컬
00529815,080520,오디텍
00101628,000050,경방
00363486,071280,로체시스템즈
00111865,028040,미래SCI
00823429,123690,한국화장품
00303396,054040,한국컴퓨터
00174004,002920,유성기업
00665630,151750,테라텍
00974927,160550,NEW
00123107,002760,보락
00220561,037710,광주신세계
00165343,003010,혜인
00148595,038010,제일테크노스
00258689,035900,JYP Ent.
01117422,244880,나눔테크
00101220,001390,KG케미칼
00152686,007810,코리아써키트
00162993,003300,한일홀딩스
00800145,122690,서진오토모티브
00411385,078070,유비쿼스홀딩스
00660291,109080,옵티시스
00332927,194370,제이에스코퍼레이션
00266952,042420,네오위즈홀딩스
00398792,064960,SNT모티브
00148920,004910,조광페인트
01170865,253590,네오셈
00484682,083310,엘오티베큠
01437292,357250,미래에셋맵스리츠
00136864,009270,신원
00155373,093380,풍강
00137809,001770,SHD
00111193,108380,대양전기공업
00159175,009720,한국전기초자
00490179,075130,플랜티넷
01258710,302430,이노메트리
00678096,141070,맥스로텍
00220686,058610,에스피지
00429694,177830,파버나인
00673976,114570,지스마트글로벌
00857727,136480,하림
00636656,099430,바이오플러스
00476036,083500,에프엔에스테크
00146269,003200,일신방직
00155382,065940,바이오빌
00671978,204020,그리티
00130091,007540,샘표
00138729,002310,아세아제지
00369170,051370,인터플렉스
00530556,122640,예스티
00153126,005740,크라운해태홀딩스
00128661,031330,에스에이엠티
00641171,100030,인지소프트
00223434,036810,에프에스티
00864338,196700,웹스
