corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y,stock_code,tacc,gpoa
00842327,2017,113219916.0,227214113.0,2901121408.0,1030974102.0,765524404.0,2810015579.0,900180.0,완리인터내셔널홀딩스,,,900180,-0.04056710498401119,0.09446556096833654
00156044,2015,90135600421.0,78581774632.0,879785693027.0,896318922279.0,414744119132.0,943767486711.0,24660.0,하림홀딩스,,,024660,0.012242237576190211,0.5102684823624016
00156044,2016,61944338749.0,91215298050.0,1254720806893.0,998196046407.0,503217187925.0,879785693027.0,24660.0,하림홀딩스,,,024660,-0.033270556151339566,0.5626129890552897
00156044,2017,65623887861.0,77736993448.0,1213219363439.0,960087338237.0,464272291874.0,1254720806893.0,24660.0,하림홀딩스,,,024660,-0.009654024640744625,0.39515965913625123
00109170,2015,20965520675.0,,526338562903.0,523114222779.0,,536562500753.0,4130.0,대덕GDS,,,004130,,
00109170,2016,9598473772.0,,513147462689.0,463195441524.0,,526338562903.0,4130.0,대덕GDS,,,004130,,
00109170,2017,33656441786.0,48286920337.0,568656321682.0,482363638726.0,428196906569.0,513147462689.0,4130.0,대덕GDS,,,004130,-0.028511255759374184,0.10555782907539871
00207223,2015,-21298754498.0,-13812582286.0,41967789254.0,24005558860.0,13901967092.0,21951479572.0,26260.0,위너지스,,,026260,-0.34103269383030177,0.4602692832098452
00207223,2016,-49494135961.0,-16052865213.0,39155632202.0,30625155964.0,11460546525.0,41967789254.0,26260.0,위너지스,,,026260,-0.7968318403813152,0.4566504402462276
00207223,2017,-12831457650.0,-12793190284.0,51711410524.0,11986798926.0,5221618942.0,39155632202.0,26260.0,위너지스,,,026260,-0.0009773144717107995,0.17277667613944045
00454265,2015,-35255572744.0,25128109606.0,263858110221.0,137747009068.0,132798980132.0,312674485421.0,87220.0,스틸플라워,,,087220,-0.1931199543470792,0.015824856733473905
00454265,2016,-48417802986.0,-9048436903.0,227944156605.0,92878393087.0,88714294713.0,263858110221.0,87220.0,스틸플라워,,,087220,-0.14920657943780977,0.01578158189078316
00454265,2017,-46566645911.0,-665776167.0,168091465966.0,52306837536.0,63036640531.0,227944156605.0,87220.0,스틸플라워,,,087220,-0.2013689248614551,-0.047072068680371865
01170962,2017,286917249.0,,2192229763.0,1424957577.0,979999635.0,1516664130.0,900290.0,GRT,,,900290,,0.29337935354217154
01170962,2018,313183312.0,,2438945147.0,1810341713.0,1333847614.0,2192229763.0,900290.0,GRT,,,900290,,0.21735591179454306
01170962,2019,390665700.0,,3449742519.0,2213778488.0,1630913279.0,2438945147.0,900290.0,GRT,,,900290,,0.23898250016690514
01170962,2020,303297551.0,,3674265906.0,2020824529.0,1503226230.0,3449742519.0,900290.0,GRT,,,900290,,0.15003969025202488
00348177,2015,-13664040131.0,-7500825941.0,67028149755.0,35269577148.0,38265972222.0,77045349417.0,52290.0,트레이스,,,052290,-0.07999462961277831,-0.03889131656451217
00348177,2016,-6572418731.0,-11148976820.0,65276268509.0,14681169950.0,10975705264.0,67028149755.0,52290.0,트레이스,,,052290,0.06827815038499715,0.05528221649477336
00348177,2017,-36415420882.0,-4242083304.0,36186408804.0,3482751204.0,6893030075.0,65276268509.0,52290.0,트레이스,,,052290,-0.49287954585768157,-0.052243777852127166
00790121,2015,107240044.0,39620212.0,2161819516.0,2264360289.0,2009146621.0,2325154225.0,900090.0,차이나하오란리사이클링유한공사,,,900090,0.029081869612326467,0.10976203868799284
00790121,2016,135514252.0,218182502.0,2326122210.0,2365026280.0,2083884947.0,2161819516.0,900090.0,차이나하오란리사이클링유한공사,,,900090,-0.03824012568494178,0.1300484757951459
00790121,2017,-645813167.0,51337545.0,1479003364.0,2342867346.0,2123262364.0,2326122210.0,900090.0,차이나하오란리사이클링유한공사,,,900090,-0.2997051096468401,0.09440818760764938
00569992,2015,2465077676.0,2914044789.0,113789515046.0,106692815222.0,84115582923.0,109900933840.0,123100.0,원익테라세미콘,,,123100,-0.004085198344662219,0.20543257923421482
00569992,2016,19487659134.0,38295668987.0,190971750619.0,172388602791.0,128601220011.0,113789515046.0,123100.0,원익테라세미콘,,,123100,-0.16528772308588155,0.3848103470895251
